s__swine_fecal_bacterium_SD-Xyl5,s__Sphingobacterium_sp._c49,s__Alistipes_sp._N15.MGS-157,s__Escherichia_coli,s__Bacillus_horikoshii,s__Acinetobacter_baumannii,s__wallaby_gut_metagenome,s__Lactobacillus_delbrueckii_subsp._delbrueckii,s__Rhizobium_radiobacter,s__unidentified,s__Lactobacillus_casei,s__Bacteroidales_bacterium_DJF_B268,s__gut_metagenome,s__Lachnospiraceae_bacterium_613,s__Enterococcus_faecalis,s__Corynebacterium_kutscheri,s__Clostridium_leptum,s__bacterium_YE57,s__Odoribacter_sp._Marseille-P2698,s__bacterium_NLAE-zl-G202,s__Lactococcus_lactis,s__mouse_gut_metagenome,s__bacterium_NLAE-zl-G339,s__Clostridium_sp._ND2,s__Streptococcus_equinus,s__Pseudomonas_aeruginosa,s__Lactobacillus_gasseri,s__Clostridium_sp._Clone-40,s__Corynebacterium_glutamicum,s__Helicobacter_canis,s__Comamonas_testosteroni,s__Achromobacter_xylosoxidans_subsp._xylosoxidans,s__Desulfovibrio_sp._enrichment_culture_clone_Jdgsrb034,s__Pseudomonas_putida,s__Mycoplasma_muris,s__Actinobacillus_muris,s__Delftia_tsuruhatensis,s__Acinetobacter_lwoffii,s__bacterium_enrichment_culture_clone_M244,s__Pasteurella_pneumotropica,s__Chryseobacterium_indologenes,s__Citrobacter_freundii,s__Lactobacillus_vaginalis,s__Firmicutes_bacterium_M10-2,s__Triticum_aestivum_bread_wheat,s__Streptococcus_salivarius_subsp._thermophilus,s__Weissella_confusa,s__Blattella_germanica_German_cockroach,s__Blautia_coccoides,s__Stenotrophomonas_maltophilia,s__Staphylococcus_aureus
0,0,0,0,3.85E-05,0,0,0,0,0.972882401,0,0,0.000154077,0,0.00111706,0,0,0,0,0,0,0.00053927,0,0,0,0,0.018181118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006740881,3.85E-05,0,0,0,0.000308155,0,0,0
0,0,0,0.000192597,0.000115558,0,0,0,0,0.996879935,0,0,0.000346674,0,0.000770386,0,0,0,0,0,0,0.000308155,0,7.70E-05,0,0,0.00053927,0,0,0,3.85E-05,0,0,0,0,0,0,0,0,0,0,0,0.000346674,0,7.70E-05,0,0,0.000308155,0,0,0
0,0,0,0.000115558,0,0,0,0,0,0.984168561,0,0,0.000115558,0,0.002003005,0,0,0,0,0,0,0.000192597,0,0.000269635,0,0,0.008358692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004699357,0,0,0,0,3.85E-05,0,0,3.85E-05
0,0,0,3.85E-05,0,0,0,0,0,0.996302146,0,0,7.70E-05,0,0.000770386,0,3.85E-05,0,0,0,0,0.001232618,0,3.85E-05,0,0,0.000693348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00053927,0,3.85E-05,0,0,0.000192597,0,0,3.85E-05
0,0,0,0.000462232,0.000423712,0,0,0,0,0.941489157,0,0,0,0,0.017218135,0,0,0,0,0,0,0.001271137,0,0.004814915,0,0,0.030969531,0,7.70E-05,0,0,0,0,0,7.70E-05,3.85E-05,0,0.000115558,0,3.85E-05,0,3.85E-05,0.001425215,0.000192597,0.00111706,0,7.70E-05,0,0,0,0.000154077
0,0,0,3.85E-05,0.000269635,0,3.85E-05,0,0,0.980894419,0,0,0.000115558,0,0.000770386,0,0,0,0,0,0,0.014791418,0,3.85E-05,0,0,0.000962983,0,0,0,0,0,0,0,0.000115558,0,0,0,0,0,0,0,0.001232618,0.000654828,0,0,0,3.85E-05,0,3.85E-05,0
0,0,0,0,0.000154077,0,0,0,0,0.930973383,0,0,7.70E-05,0,0.000423712,0,0,0,0,0,0,0.002580794,0,0.000346674,0,0,0.043141636,0,0,0,0,0,0,0,0,0,0,3.85E-05,0,0,0,0,0.013982512,0.008243134,0,0,0,0,3.85E-05,0,0
0,0,0,0.000385193,0.000269635,0,0,0,0,0.97519356,0,0,3.85E-05,0,0.005546782,0,0,0,0,0,0,0.000885944,0,0.004083048,0,0,0.010978005,0,0,0,0,0,0,0,0,0,0,0.000154077,0,3.85E-05,0,0,0.000847425,3.85E-05,0.001463734,0,0,0,3.85E-05,0,3.85E-05
0,0,0,0.000500751,0,0,7.70E-05,0,0,0.968837872,0,0,0.000423712,0,0.001771889,0,0,0,0,0,0,0.000192597,0,0.000154077,0,0,0.013135087,0,3.85E-05,0,0,0,0,0,3.85E-05,0,0,0.000154077,0,0,0,0.000231116,0.005546782,0.008859443,0,0,0,0,0,0,3.85E-05
0,0,0,0,0,0,0,0,0,0.933438619,0,0,0.001309657,0,0.00053927,0,7.70E-05,0,0,0,0.000616309,0.001540773,0,0,0,0,0.039944532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001425215,0.006394207,0.014560302,0,0,0,7.70E-05,3.85E-05,3.85E-05,0
0,0,0,0,0.000115558,0,0,0,0,0.828781634,0,0,0.000346674,0,0.001656331,7.70E-05,0,0,0,0,0.000885944,0.001579292,0,3.85E-05,0,0,0.113747544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001232618,0.014945495,0.036477794,0,0,0,0,0,0.000115558,0
0,0,0,0,0,0,0,0,0,0.836485497,0,0,0.00169485,0,0.00508455,0,0,0,3.85E-05,0,0.003081545,0.001271137,0,0,0,0,0.064789492,0,0,0,0,0,0,0.000115558,0,0,0,0,0,0,0,0.006047533,0.019490775,0.061669427,0.000115558,0,0,7.70E-05,0,3.85E-05,0
0,0,0,0.000308155,0.000654828,0,0,0,0,0.697238165,0,0,0,0,0.008166095,0,0,0,0,0,0.00620161,0.000192597,0,0.000308155,0,0,0.154308386,0,0,0,0,0,0,3.85E-05,0,0,3.85E-05,0,0,0,0,0.004160086,0.05924271,0.06883402,3.85E-05,0,0,0,0,0.000115558,0.000154077
0,0,0,0.000231116,0,0,0,0,0,0.886213936,0,0,0.000462232,0,3.85E-05,0,0.000192597,0,0,0,0.000154077,0.000847425,0,0,0,0,0.077462347,0,0,0,7.70E-05,0,0,3.85E-05,0,0,0,0,0,0,0,0.000308155,0.010015023,0.023920496,3.85E-05,0,0,0,0,0,0
0,0,0,0,0.000385193,0,0,0,0,0.814568006,0,0,0.000885944,0,0.000192597,0,0,0,0,0,0.000770386,0.001001502,0,3.85E-05,0,0,0.122260314,3.85E-05,0,0,0.00169485,0,0,7.70E-05,0,0,0,0,0,0,0,0.002580794,0.033588845,0.021532298,0.000231116,0,0,0,0,0.000154077,0
0,0,0,0,0,0,0,0,0,0.91930203,0,0,0.003081545,0,0.000346674,0,3.85E-05,0,0,0,0.001194099,0.002619314,0,0,0,0,0.039251184,3.85E-05,0,0,0.006702361,0,0,0.000654828,0,0,3.85E-05,0,0,0,0,0.008281653,0.005893456,0.012364701,0,0,0,0,0,0.000192597,0
0,0,0,7.70E-05,7.70E-05,0,3.85E-05,0,0,0.909941836,0,0,0.00111706,0,0.000616309,0,0.000115558,0,0,0,0.001617811,0.000962983,0,0,0,0,0.051654405,0,0,0,0.003158584,0,0,0.000269635,0,0,0,0,0,0,0,0.005431224,0.011555795,0.01298101,7.70E-05,0,0,0,0,0.000269635,3.85E-05
0,0,0,3.85E-05,0,0,0,0,0,0.931358576,0,0,0.00223412,0,0.000423712,0,0,0,0,0,0.000462232,0.00057779,0,0,0,0,0.052809984,0,0,0,0.001733369,0,0,0.000154077,0,0,0,0,0,0,0,0.002927468,0.005046031,0.002118562,3.85E-05,0,0,0,0,7.70E-05,0
0,0,0,0.000231116,7.70E-05,0,0,0,0,0.930318555,0,0,0.000154077,0,0.001232618,0,0,0,0,0,0,0.000462232,0,0.000154077,0,0,0.043757945,0,0,7.70E-05,0,0,0,0,0,0,0,0.000885944,0,3.85E-05,0,0,0.015176611,0,0,0,0,0,0,0,0.007434228
0,0,0,0,7.70E-05,0,0,0,0,0.932745272,0,0,0.000654828,0,0.000423712,0,0,0,0,0,0,0.001271137,0,0.000231116,0,0,0.034782944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022726397,0.003312661,0,0,0,0.003736374,0,0,3.85E-05
0,0,0,3.85E-05,7.70E-05,0,0,0,0,0.973267594,0,0,0,0,0,0,0,0,0,0,0,0.00508455,0,0,0,0,0.004776395,0,0,0.000192597,0,0,0,0,0,0,0,0,0,0,0,0,0.000693348,0.015484766,0,0,0,0.000346674,3.85E-05,0,0
0,0,0,0,0,0,0,0,0,0.986056007,0,0,0.000231116,0,7.70E-05,0,0,0,0,0,0,0.001540773,0,7.70E-05,0,0,0.001540773,3.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000616309,0.009783907,0,0,0,3.85E-05,0,0,0
0,0,0,0,0,0,0,0,0,0.982974462,0,0,0.000269635,0,0,0,0,0,0,0,0,0.002311159,0,3.85E-05,0,0,0.002927468,0,7.70E-05,3.85E-05,0,0,0,0,0,0,0,0,0,0,3.85E-05,0,0.000885944,0.008243134,0,0,0,0.002195601,0,0,0
0,0,0,0,3.85E-05,0,0,0,0,0.967104503,0,0,0.000423712,0,0.000423712,0,3.85E-05,0,0,0,0,0.00392897,0,0.000192597,0,0,0.012056546,0,0,0.004083048,0,0,0,0,0.000346674,0,0,0,0,0,3.85E-05,0,0.001925966,0.008743885,0,0,0,0.000654828,0,0,0
0,3.85E-05,0,0,0,0,0,0,0,0.98871384,0,0,0.000500751,0,0.001001502,0,0.000308155,0,0,0,0,0.001733369,0,3.85E-05,0,0,3.85E-05,3.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007549786,0,0,0,3.85E-05,0,0,0
0.000385193,0,0,0,0,0,0,0,0,0.880474558,0,0,0.000154077,0,7.70E-05,0,3.85E-05,0,3.85E-05,0,3.85E-05,0.001001502,0,0,0,0,0.095797542,0,0,3.85E-05,3.85E-05,0,0,0,0,0,0,0,0,0,0,3.85E-05,0.021763414,3.85E-05,0,0,0,7.70E-05,0,0,0
0,0,0,0,0,0,0,0,7.70E-05,0.865490544,0,0,0,0,0.000308155,0,7.70E-05,0,0,0,0,0.000731867,0,0.000115558,0,0,0.099996148,0,0,0,3.85E-05,0,0,0,0,0,0,0,0,0,0,0.000115558,0.032856978,0,0,3.85E-05,0,0,0,0.000154077,0
0.000885944,0,0,3.85E-05,0,0,0,0,0,0.946342591,0,0,0.000231116,3.85E-05,0.000154077,0,0,0,0,0,0,0.000154077,0,3.85E-05,0,0,0.040483803,0,0,3.85E-05,3.85E-05,0,0,0,0,0,0,0,0,0,0,3.85E-05,0.011093563,0.000115558,3.85E-05,0,0,0.000231116,0,3.85E-05,0
0,0,0,0,3.85E-05,0,0,0,0,0.986556758,0,0,3.85E-05,0,0.001887447,0,0,0,3.85E-05,0,0,0.001386695,0,7.70E-05,0,0,0.006278649,0,0,0,7.70E-05,0,0,0,0,0,0,0,0,0,0,7.70E-05,0.0033897,0,3.85E-05,0,0,3.85E-05,0,7.70E-05,0
3.85E-05,0,0,0,7.70E-05,0,0,0,3.85E-05,0.968645276,0,0,3.85E-05,0,0.000654828,0,0,0,0,0,0,0.000115558,0,0.000693348,0,0,0.015446246,0,0,0,7.70E-05,0,0,0,7.70E-05,0,0,0,0,0,0,0.000154077,0.013366203,3.85E-05,0.000462232,0,3.85E-05,0,0,3.85E-05,0
3.85E-05,0,0,0,0.000154077,0,0,0,3.85E-05,0.956588729,0,0,3.85E-05,0,0.001271137,0,0,0,0,0,3.85E-05,0.00057779,0,0,0,0,0.025615346,0,0,0,0.000115558,0,0,0,0,0,0,0,0,0,0,0.000115558,0.014868457,0.000115558,0.000115558,0,3.85E-05,3.85E-05,0,0.000231116,0
7.70E-05,0,0,0,0,0,0,0,0,0.947998921,0,0,0,0,0.000770386,0,0,0,0,0,0,0.000154077,0,3.85E-05,0,0,0.039597858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.70E-05,0.011016525,0.000115558,0,0,0,7.70E-05,0,0,7.70E-05
0,0,0,0,0.000192597,0,0,0,0,0.92099688,0,0,0.000269635,0,0.007395709,0,0,0,0,0,0,0.001964485,0,3.85E-05,0,0,0.047147645,0,0,0.000192597,0.00053927,0,0,0.000231116,0.000115558,0,0,0,0,0,0.000115558,3.85E-05,0.020184122,3.85E-05,7.70E-05,0,0.000115558,0,0,0.000308155,3.85E-05
0,0,0,0,0,0,0,0,0,0.935711259,0,0,0.000192597,0,0.000154077,0,3.85E-05,0,0,0,0,0.003004507,0,7.70E-05,0,0,0.043411271,0,0,0.000154077,7.70E-05,0,0,0,0,0,0,0,0,0,0,3.85E-05,0.017141096,0,0,0,0,0,0,0,0
0,0,3.85E-05,0,3.85E-05,0,0,0,0,0.923076923,0,0,0.000885944,0,0.000269635,0,0,0,0,0,0,0.000192597,0,0,0,3.85E-05,0.05754786,0,0,3.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.017872963,0,0,0,0,0,0,0,0
0,0,0,0,3.85E-05,0,0,0,0,0.989137552,0,0,0,0,0.000192597,0,0,0,0,0,3.85E-05,0.001040022,0,0,0,0,0.006432726,0,0,3.85E-05,7.70E-05,0,0,0,0.000693348,0,0,0,0,0,0,0,0.002311159,0,0,0,0,0,0,0,0
0,0,0,0,3.85E-05,0,0,0,0,0.990331651,0,0,0.000154077,0,0.000231116,0,3.85E-05,0,0,0,3.85E-05,0.000231116,0,0,0,0,0.000847425,0,0,0.000885944,0,0,0,0,7.70E-05,0,0,0,0,0,0,3.85E-05,0.000154077,0.006702361,7.70E-05,0,0,0.000115558,0,0,3.85E-05
0,0,0,0,0,0,0,0,0,0.970956435,0,0,0.000192597,0,0.000154077,0,0,0,3.85E-05,0,0,0.00057779,0,0,0,3.85E-05,0.003582297,0,0,0.000308155,0,0,0,0,7.70E-05,0,0,0,0,0,0,0,0.000654828,0.022957513,3.85E-05,0,3.85E-05,0.000385193,0,0,0
0,0,0,0,0,0,0,0,0,0.997265128,0,0,0.000269635,0,0.000154077,0,3.85E-05,0,0,0,0,7.70E-05,0,0,0,0,0.000308155,3.85E-05,0,0.000847425,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000885944,0,0,0,7.70E-05,3.85E-05,0,0
0,0,0,0,0,0,3.85E-05,0,0,0.994761373,0,0,0.000308155,0,0.000115558,0,0,0,0,0,3.85E-05,0.000308155,0,0,0,0,0.001386695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000423712,0.002311159,3.85E-05,0,0,0.000269635,0,0,0
0,0,0,3.85E-05,3.85E-05,0,0,0,0,0.980740341,0,0,0.000269635,0,0,0,3.85E-05,0,0,0,3.85E-05,7.70E-05,0,0,0,0,0.000269635,0,0,7.70E-05,3.85E-05,0,0,0,3.85E-05,0,0,0,0,0,0,0,0,0.005739378,0.000115558,0,0,0.000654828,0,0,0.01182543
0,0.000192597,0,0.000346674,0.000269635,0,0,0,0,0.880782713,3.85E-05,0,0,0,0.00169485,0,0,0,0,0,0.001001502,0.000731867,0,0.000770386,0.000385193,0,0.019721891,0,0.000154077,0,0.004237125,0,0,0.000308155,3.85E-05,0,3.85E-05,0,0,3.85E-05,0,0.011324679,0.024652363,0.0530411,0,7.70E-05,0,0,0,0.000154077,0
0,0,0,0.000115558,3.85E-05,0,0,0,0,0.977081006,0,0,3.85E-05,0,0.000500751,0,0,0,0,0,0.000231116,3.85E-05,0,0.000192597,0.000231116,0,0.007241632,0,0,0,0.000770386,0,0,0,0,0,0,0,0,0,0,0.002965987,0.002773391,0.007742383,0,0,3.85E-05,0,0,0,0
0,0,0,3.85E-05,0,0,0,0,0,0.97854474,3.85E-05,0,0.000115558,0,0.000308155,0,3.85E-05,0,0,0,0.000269635,0.004468241,7.70E-05,3.85E-05,0.000192597,0,0.007973499,0,0,0,0.001001502,0,0,0,0,0,3.85E-05,0,0,0,0,0.002195601,0.004121567,0.000500751,0,3.85E-05,0,0,0,0,0
0,0,0,0.000231116,0,0,0,0,0,0.987173067,0,0,0.000346674,0,0.000231116,0,0,0,0,0,7.70E-05,0.003351181,0,7.70E-05,7.70E-05,0,0.000385193,0,0,0.002118562,0.000693348,0,0,0.000115558,0.000731867,0,0,0,0,0,0,0.002888949,0.000231116,0,3.85E-05,0,0,0.001194099,0,3.85E-05,0
0.000500751,0,0,0,0.000269635,0,0,0,0,0.93902392,0,0,7.70E-05,0,0.001040022,0,0,0,0,0,0.000154077,0.000192597,0,0.000115558,0,0.000231116,0.048341743,0,0,3.85E-05,0,0,0,0,0,0,0,0,7.70E-05,0,0,0,0.008820924,0.000924464,3.85E-05,0,0,3.85E-05,0,3.85E-05,7.70E-05
0.000770386,0,0,0,3.85E-05,0,0,0,0,0.976118023,0,0,3.85E-05,0,7.70E-05,0,0,0,0,0,0,0.00223412,0,3.85E-05,0,0,0.015715882,0,0,0,0,0,0,0,0,0,0,0,0,3.85E-05,0,0,0.000616309,0.004275644,0,0,0,3.85E-05,0,0,0
0,0,0,0,0.000885944,0,0,0,0,0.808520473,0,0,3.85E-05,0,0.003351181,0,0,0,0,0,0,0.000500751,0,0.000847425,0,0,0.124263318,0,0,0.000115558,0,0,0,0,0,0,0,0,0,0,0,0,0.06035977,0.000885944,0,0,0,0,0,0,0.000231116
0,0,0,0,0,0,0.000346674,0,0,0.993605793,0,0,3.85E-05,0,0.000462232,0,7.70E-05,0,0,0,0.004737876,3.85E-05,3.85E-05,0.000346674,0,0,0.000154077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000115558,0,0,0,0,3.85E-05,0,0,0
0,0,0,0,7.70E-05,0,0,0,0,0.926274026,0,0,0.000423712,0,0.00281191,0,0,0,0,0,3.85E-05,0.001040022,0,0,0,7.70E-05,0.002080043,0,0,0,0,0,0,0,0,0,0,0,0,3.85E-05,0,0,0.001232618,0.065790994,7.70E-05,0,0,3.85E-05,0,0,0
0,0,0,3.85E-05,0,0,0,0,0,0.962636262,0,0,0.000385193,0,0.000269635,0,3.85E-05,0,0,0,3.85E-05,0.028157621,0,0,0,0,0.001810408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85E-05,0.000962983,0.005469743,7.70E-05,0,0,0,7.70E-05,0,0
0,0,0,0,0.000192597,0,0,0,0,0.942298062,0,0,0,0,3.85E-05,3.85E-05,3.85E-05,0,0,0,0.053503332,0.000423712,0,0.001001502,0,0,0,0,0,0,0,0,0,0,0,0,0,7.70E-05,0,0,0,0,0,0,3.85E-05,0,0,0,0.000308155,0,0.002041524
0,0,0,0,0.005431224,0.000115558,0,0,0,0.840375949,0,0,0.000154077,0,0.000192597,7.70E-05,0,0,0,0,0.147683063,0.000385193,0,0.00053927,0,0,0.002542275,0,0,0,0,0,0,0,0,0,0,7.70E-05,0,0,0,0,7.70E-05,0,0,7.70E-05,0,0,0,3.85E-05,0.00223412
0,0,0,0,3.85E-05,0,0,0,0,0.923423597,0,0,3.85E-05,0,3.85E-05,0,7.70E-05,0,0,0,0.026039059,0.001309657,0,0.000154077,0,0,0.03894303,0,0,0,0,0,0,0,0,0,0,3.85E-05,0,0,0,0,0.001271137,7.70E-05,7.70E-05,0,0,0,0,0,0.00847425
0,0,0,0,3.85E-05,0,0,0,0,0.924733254,0,0,0,0,7.70E-05,0,0.000115558,0,0,0,0.070220716,0.001887447,0,0.000770386,0,0,3.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85E-05,0,0.002080043
